FECHA,AGUA_ACTUAL,AGUA_TOTAL,max_cap,year
1988-12-27,18661.0,42794.0,43.60658036173295,1988
1989-11-14,14989.0,42809.0,35.013665350744006,1989
1990-10-16,19415.0,48678.0,39.88454743415917,1990
1991-10-29,18568.0,48700.0,38.12731006160164,1991
1992-09-29,18292.0,48949.0,37.369507037937446,1992
1993-09-21,17535.0,48952.0,35.82080405294983,1993
1994-10-11,17100.0,51114.0,33.454630825214224,1994
1995-11-07,12765.0,51442.0,24.814354029781114,1995
1996-01-02,22590.0,51442.0,43.9135336884258,1996
1997-10-28,29672.0,51558.0,57.55071957795104,1997
1998-12-29,29461.0,51689.0,56.99665305964518,1998
1999-09-21,23011.0,53069.0,43.360530629934615,1999
2000-10-24,22083.0,53168.0,41.53438158290701,2000
2001-12-25,27102.0,53191.0,50.952228760504596,2001
2002-10-08,24815.0,53224.0,46.62370359236435,2002
2003-10-14,29796.0,53193.0,56.01488917714737,2003
2004-10-19,28999.0,53198.0,54.511447798789426,2004
2005-10-11,20756.0,53252.0,38.9769398332457,2005
2006-10-17,20915.0,54151.0,38.623478790788724,2006
2007-12-25,22473.0,54148.0,41.502917928640024,2007
2008-01-01,22466.0,54148.0,41.48999039669055,2008
2009-11-03,22498.0,54375.0,41.375632183908046,2009
2010-01-05,31945.0,55111.0,57.964834606521386,2010
2011-10-25,32933.0,55590.0,59.242669544882176,2011
2012-10-16,24777.0,55398.0,44.725441351673346,2012
2013-01-01,30872.0,55327.0,55.799157734921465,2013
2014-10-07,35074.0,55977.0,62.65787734247995,2014
2015-10-27,30759.0,55977.0,54.949354199046034,2015
2016-11-22,26928.0,55978.0,48.10461252634964,2016
2017-12-05,20446.0,56075.0,36.461881408827466,2017
2018-01-02,21832.0,56075.0,38.933571110120376,2018
2019-10-22,22313.0,56113.0,39.76440397055941,2019
2020-10-20,25278.0,55899.0,45.22084473783073,2020
2021-10-26,21786.0,56136.0,38.80932022231723,2021
2022-10-18,17599.0,56069.0,31.38811107742246,2022
2023-10-17,19368.0,56039.0,34.5616445689609,2023
2024-01-16,25356.0,56039.0,45.24706008315637,2024
